,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1630173,00,0,3,0,4.1,1.0,1.3,0.75,0.0,0.0,0.0,0.3,1.3,0.25,0.0,2.0,2.0,0.0,0.0,0.7,1.3,0.3,2.3
0,203500,00,0,59,41,27.3,3.4,5.5,0.627,0.0,0.1,0.0,1.3,2.5,0.534,2.8,4.7,7.5,0.8,0.5,1.0,1.0,2.6,8.2
0,1628389,00,0,28,23,32.1,5.6,10.4,0.538,0.0,0.1,0.0,3.7,5.1,0.725,2.5,6.5,9.0,3.6,0.9,0.7,2.1,2.8,14.9
0,200746,00,0,72,72,37.1,8.1,17.8,0.455,0.2,0.7,0.327,4.3,5.2,0.824,2.5,6.0,8.5,1.7,0.7,1.4,1.6,2.7,20.8
0,1628960,00,0,7,0,18.5,2.0,5.7,0.35,1.1,3.4,0.333,0.7,1.1,0.625,0.4,1.6,2.0,0.1,0.3,0.1,0.1,1.9,5.9
0,1628386,00,0,9,9,26.9,3.7,6.2,0.589,0.0,0.0,0.0,3.3,4.0,0.833,3.6,6.8,10.3,2.2,0.6,1.1,2.1,2.2,10.7
0,203937,00,0,35,7,15.4,2.1,4.3,0.49,0.2,0.8,0.241,0.6,0.7,0.769,0.7,2.4,3.1,1.5,1.0,0.2,0.5,1.1,5.0
0,203507,00,0,64,64,36.2,9.8,18.2,0.536,0.8,3.0,0.274,5.5,9.0,0.613,2.4,9.2,11.6,4.9,1.1,1.4,3.0,3.2,25.9
0,203648,00,0,13,0,3.4,0.2,0.5,0.286,0.0,0.0,0.0,0.4,0.5,0.833,0.2,0.5,0.8,0.2,0.4,0.2,0.2,0.9,0.7
0,2546,00,0,83,77,37.2,8.1,19.4,0.414,1.2,3.8,0.324,5.7,6.9,0.826,1.8,4.9,6.7,2.5,1.2,0.3,2.6,3.6,23.1
0,1628384,00,0,21,21,30.0,3.3,6.7,0.493,1.4,3.3,0.429,1.2,1.9,0.667,1.7,3.0,4.6,1.0,0.8,0.8,1.0,2.4,9.2
0,201571,00,0,38,6,21.0,2.4,6.5,0.368,1.2,3.1,0.39,2.2,2.5,0.874,0.2,1.0,1.2,2.4,0.4,0.1,1.1,1.6,8.2
0,1629028,00,0,22,22,36.4,7.0,10.6,0.658,0.0,0.0,0.0,1.8,2.4,0.736,3.0,8.8,11.8,1.1,0.8,1.1,1.3,2.9,15.8
0,1628962,00,0,1,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1630217,00,0,5,0,19.8,2.2,3.8,0.579,1.2,2.4,0.5,0.0,0.0,0.0,0.4,3.0,3.4,2.0,0.8,0.4,0.6,1.2,5.6
0,203084,00,0,64,56,31.9,4.1,9.7,0.419,1.2,3.3,0.355,1.4,1.9,0.756,1.5,3.6,5.1,1.3,0.7,0.4,1.0,2.1,10.7
0,1629628,00,0,5,5,32.3,5.2,13.4,0.388,1.6,5.6,0.286,2.4,3.0,0.8,0.8,6.4,7.2,3.0,0.8,0.4,0.4,2.2,14.4
0,203115,00,0,24,4,20.5,3.5,8.8,0.392,1.2,3.6,0.322,1.1,1.5,0.75,0.9,3.0,3.8,1.5,0.3,0.5,1.0,1.3,9.2
0,1628966,00,0,5,0,4.7,0.2,1.0,0.2,0.0,0.0,0.0,0.2,0.4,0.5,0.6,0.6,1.2,0.2,0.0,0.0,0.0,0.0,0.6
0,201587,00,0,58,39,29.6,3.5,7.9,0.441,1.5,4.2,0.352,1.2,1.4,0.807,0.7,4.1,4.9,2.4,0.9,0.4,1.2,1.7,9.6
0,203145,00,0,41,12,19.4,2.3,6.2,0.379,0.7,2.8,0.254,1.1,1.7,0.648,0.4,3.2,3.6,1.3,0.8,0.5,1.0,1.4,6.5
0,1629647,00,0,7,0,18.0,1.9,4.4,0.419,1.6,3.1,0.5,1.3,1.4,0.9,0.3,6.4,6.7,0.9,0.0,0.4,0.9,0.3,6.6
0,203078,00,0,45,45,39.8,8.5,19.3,0.442,2.3,6.5,0.347,4.2,5.1,0.829,1.2,3.4,4.6,3.8,1.5,0.6,2.5,2.5,23.5
0,1627736,00,0,14,0,20.1,2.6,6.6,0.387,1.4,3.4,0.404,1.6,2.2,0.71,0.8,2.6,3.4,1.0,0.2,0.1,0.5,1.4,8.1
0,202722,00,0,27,2,14.0,1.1,3.2,0.356,0.8,2.6,0.314,0.8,1.1,0.759,0.2,1.6,1.9,0.6,0.2,0.3,0.3,1.4,3.9
0,201976,00,0,59,48,26.1,2.9,7.0,0.412,1.2,3.4,0.363,0.9,1.1,0.81,1.3,3.2,4.5,2.4,0.9,0.5,0.9,3.2,7.9
0,203920,00,0,10,0,18.1,1.7,3.2,0.531,0.0,0.0,0.0,1.6,1.8,0.889,1.8,3.8,5.6,1.1,0.2,0.5,1.1,1.9,5.0
0,202687,00,0,23,11,24.1,1.9,3.2,0.581,0.0,0.0,0.0,2.0,3.4,0.577,2.5,6.1,8.6,0.4,0.3,1.3,0.9,2.3,5.7
0,202357,00,0,7,0,11.0,1.7,3.9,0.444,1.1,2.1,0.533,1.3,1.9,0.692,0.7,2.1,2.9,0.7,0.7,0.1,0.1,1.6,5.9
0,202339,00,0,48,31,25.0,4.2,9.6,0.441,0.8,3.0,0.254,1.9,2.6,0.712,0.9,2.5,3.4,3.8,1.0,0.5,1.9,2.1,11.1
0,1629833,00,0,2,0,1.9,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
0,203992,00,0,18,18,33.2,5.4,13.8,0.39,2.6,7.9,0.329,0.7,0.9,0.706,0.6,3.6,4.2,2.9,1.6,0.3,1.5,2.8,14.1
0,202711,00,0,41,27,30.4,4.4,10.4,0.422,2.1,5.4,0.389,2.2,2.6,0.832,0.6,3.7,4.2,1.4,0.8,0.1,1.4,2.1,13.0
0,1629626,00,0,7,0,3.9,0.7,1.4,0.5,0.3,0.6,0.5,1.0,1.1,0.875,0.4,0.4,0.9,0.3,0.3,0.3,0.3,0.1,2.7
0,1629067,00,0,4,0,2.4,0.0,1.3,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
0,1626164,00,0,22,22,40.4,9.6,21.5,0.447,2.0,6.2,0.321,6.0,6.7,0.905,0.7,5.0,5.6,4.5,0.8,0.2,3.7,3.5,27.3
0,1628449,00,0,9,0,5.2,0.6,1.8,0.313,0.3,0.9,0.375,0.0,0.2,0.0,0.3,1.1,1.4,0.1,0.0,0.3,0.1,0.6,1.4
0,202340,00,0,39,39,32.1,4.8,11.5,0.42,1.4,4.4,0.312,1.2,1.5,0.78,0.7,2.4,3.1,1.6,1.2,0.3,1.4,2.2,12.2
0,1628396,00,0,7,0,7.2,0.4,1.6,0.273,0.0,0.0,0.0,0.7,1.0,0.714,1.6,1.9,3.4,0.1,0.3,0.3,0.6,0.6,1.6
0,1628969,00,0,22,22,32.1,4.2,8.6,0.484,1.6,4.3,0.368,1.1,1.3,0.893,0.9,3.4,4.3,1.6,1.0,0.7,0.7,1.9,11.1
0,1627763,00,0,24,17,30.3,4.5,10.5,0.423,1.6,4.2,0.376,1.7,2.0,0.816,0.5,3.7,4.2,4.3,0.5,0.1,1.8,2.2,12.2
0,1628415,00,0,5,5,34.9,10.0,19.4,0.515,1.6,4.0,0.4,4.2,5.2,0.808,1.0,3.2,4.2,2.2,1.4,0.4,1.8,3.4,25.8
0,1628971,00,0,16,7,20.9,2.8,5.8,0.484,0.2,1.0,0.188,0.9,1.1,0.833,1.5,2.8,4.3,1.7,0.6,0.4,0.8,2.4,6.8
0,1627759,00,0,61,41,28.6,5.6,11.7,0.476,1.7,4.8,0.359,2.0,2.6,0.745,1.0,4.0,5.0,1.4,0.9,0.4,1.5,2.7,14.8
0,1628425,00,0,15,5,11.9,1.2,2.9,0.409,0.5,1.7,0.32,0.5,0.7,0.727,0.3,1.9,2.2,1.3,0.5,0.2,0.5,1.3,3.5
0,1628973,00,0,7,0,16.3,2.9,6.3,0.455,0.9,1.9,0.462,1.4,1.9,0.769,0.9,1.7,2.6,1.4,0.0,0.0,0.6,0.9,8.0
